id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
6735,209409,5000000.0,North Coast,4500000.0,5000000.0,2023-05-14 00:00:00,2023-05-16 00:00:00,2023-12-14 00:00:00,5,3.0,927.0,Primary,7.0,Chalet
654,13567,1680000.0,Zed ,,,2020-11-04 00:00:00,,,9,,,,,Studio
6919,192599,4118045.0,New Capital City,,4118045.0,2023-05-08 00:00:00,2023-05-09 00:00:00,2023-05-14 00:00:00,21,9.0,252.0,Primary,8.0,Apartment
8355,266358,9800000.0,North Coast,,9800000.0,2023-08-23 00:00:00,2023-08-24 09:28:00,2023-09-19 00:00:00,5,3.0,789.0,Primary,7.0,Chalet
2494,58277,7800000.0,North Coast,,,2022-06-14 00:00:00,,2022-06-29 00:00:00,5,3.0,717.0,Primary,,Chalet
2789,116003,5931000.0,North Coast,,,2022-08-09 00:00:00,2022-08-09 00:00:00,2022-08-30 00:00:00,5,3.0,236.0,Primary,,Chalet
11815,396561,,Cairo,5000000.0,,,,,21,29.0,1026.0,,,Apartment
7196,5821,3659000.0,6th of October City,3500000.0,3659000.0,2023-06-04 00:00:00,2023-06-05 00:00:00,2023-06-26 00:00:00,21,1.0,258.0,Primary,8.0,Apartment
9188,309001,4592000.0,Hurghada,,4592000.0,2023-10-06 00:00:00,2023-10-08 17:11:00,2023-10-25 00:00:00,5,18.0,454.0,Primary,6.0,Chalet
10918,365573,7311619.0,Mostakbal City,,7311619.0,2023-12-21 00:00:00,2023-12-21 14:18:00,2024-01-06 00:00:00,21,10.0,490.0,Primary,8.0,Apartment
7174,2155,3897000.0,North Coast,3500000.0,3897000.0,2023-04-12 00:00:00,2023-04-13 00:00:00,2023-05-29 00:00:00,5,3.0,305.0,Primary,9.0,Chalet
9440,13917,5000000.0,North Coast,13500000.0,18500000.0,2023-10-02 21:00:00,,2023-10-16 21:00:00,5,3.0,161.0,Primary,7.0,Chalet
11813,398324,,Cairo,4000000.0,,,,,21,29.0,1084.0,,,Apartment
3919,169737,5083000.0,North Coast,,5083000.0,2022-12-29 00:00:00,2022-12-29 00:00:00,2023-01-24 00:00:00,5,3.0,528.0,Primary,8.0,Chalet
3423,93748,4240000.0,North Coast,,4240000.0,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-11-08 00:00:00,5,3.0,522.0,Primary,,Chalet
10294,135508,6549288.0,6th of October City,,6549288.0,2023-11-19 00:00:00,2023-11-26 10:31:00,2023-12-03 00:00:00,21,1.0,223.0,Primary,10.0,Apartment
9429,305053,6422281.0,New Cairo,,6865279.0,2023-10-15 00:00:00,2023-10-17 17:34:00,2023-10-27 00:00:00,21,2.0,186.0,Primary,8.0,Apartment
8609,17900,5978883.0,North Coast,,5978883.0,2023-09-07 00:00:00,2023-09-10 13:58:00,2023-09-11 00:00:00,5,3.0,929.0,Primary,8.0,Chalet
5795,123311,3259000.0,North Coast,,3259000.0,2023-02-25 00:00:00,2023-02-25 00:00:00,2023-05-06 00:00:00,5,3.0,305.0,Primary,8.0,Chalet
3211,93035,2075000.0,North Coast,,2075000.0,2022-06-12 00:00:00,2022-08-07 00:00:00,2022-09-25 00:00:00,5,3.0,716.0,Primary,,Chalet
8684,256825,4810000.0,6th of October City,5000000.0,,2023-09-17 00:00:00,2023-09-17 12:38:00,2023-09-17 23:00:00,21,1.0,798.0,Primary,8.0,Apartment
2762,93035,1037500.0,North Coast,,2075000.0,2022-06-12 00:00:00,2022-08-07 00:00:00,2022-09-25 00:00:00,5,3.0,716.0,Primary,,Chalet
11030,371499,3646800.0,New Capital City,,3646800.0,2023-12-25 00:00:00,,2023-12-27 00:00:00,8,9.0,604.0,Developer Commercial Sale,6.0,Office
11031,371499,5411556.0,New Capital City,,5411556.0,2023-12-26 00:00:00,,2023-12-27 00:00:00,8,9.0,604.0,Developer Commercial Sale,6.0,Office
6701,179789,3413000.0,North Coast,3413000.0,3413000.0,2023-04-16 00:00:00,2023-04-16 00:00:00,2023-05-07 00:00:00,5,3.0,752.0,Primary,8.0,Chalet
8301,281257,4110000.0,North Coast,4110000.0,,2023-08-20 00:00:00,2023-08-20 20:38:00,2023-08-27 00:00:00,5,3.0,522.0,Primary,8.0,Chalet
6627,192384,4218000.0,North Coast,,4218000.0,2023-04-06 00:00:00,,2023-04-06 00:00:00,5,3.0,305.0,Primary,9.0,Chalet
